id,baseline_price,recommended_price,price_uplift,action,nearest_event,event_date,distance_to_event_km,event_category
916648840943265344,95.0,92.55287287348636,-2.447127126513635,HOLD,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,0.7556615571249092,Sports
917389064714479822,72.0,93.60000000000001,21.60000000000001,RAISE,Men At Work,2026-09-20,1.1845150397861364,Music
917424428873467071,141.0,183.3,42.30000000000001,RAISE,Juvenile’s Boiling Point Album Release Tour w/ The 400 Degreez Band,2026-04-17,1.1851763492323182,Music
917606294262917563,41.0,53.300000000000004,12.300000000000004,RAISE,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,4.026833183574616,Sports
918135698584463543,153.0,107.1,-45.900000000000006,DISCOUNT,Men At Work,2026-09-20,1.7595994274409636,Music
919514310163551770,211.0,226.95573392614978,15.955733926149776,RAISE,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,4.011681897563708,Sports
919602203294971857,101.0,126.36756179572755,25.367561795727553,RAISE,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,0.9760838726232725,Sports
920297782252014779,134.0,156.78967677983118,22.789676779831183,RAISE,Washington Nationals vs New York Yankees: Marvel's Captain America Bobblehead,2026-07-10,1.8136266362152305,Sports
920641349115440118,65.0,70.851014657093,5.851014657093003,RAISE,Diplo,2026-05-22,2.050008669852753,Music
921798864732473827,86.0,108.06280290188175,22.062802901881753,RAISE,Vans Warped Tour DC,2026-06-13,2.110497481222284,Music
921871929865122572,183.0,146.2672239763564,-36.732776023643595,DISCOUNT,Men At Work,2026-09-20,0.8374724364159066,Music
922327726535953931,175.0,130.9702396097884,-44.02976039021161,DISCOUNT,Washington Nationals vs New York Yankees: Marvel's Captain America Bobblehead,2026-07-10,1.312852532426213,Sports
922347136490665948,154.0,166.25696991090172,12.256969910901717,RAISE,Washington Nationals vs New York Yankees: Marvel's Captain America Bobblehead,2026-07-10,1.2442593601111658,Sports
923074641295399026,135.0,130.9702396097884,-4.029760390211607,HOLD,Washington Nationals vs New York Yankees: Marvel's Captain America Bobblehead,2026-07-10,1.312852532426213,Sports
923136371729571657,119.0,113.3742659117146,-5.625734088285398,HOLD,Washington Nationals vs New York Yankees: Marvel's Captain America Bobblehead,2026-07-10,1.2442593601111658,Sports
923171724688369659,113.0,141.142665342934,28.14266534293401,RAISE,Vans Warped Tour DC,2026-06-13,2.2823768954941928,Music
923867883772050257,446.0,312.2,-133.8,DISCOUNT,The James Hunter Six,2026-04-19,1.0480500704515947,Music
924545458803565734,174.0,226.20000000000002,52.20000000000002,RAISE,Washington Mystics vs. New York Liberty,2026-05-10,1.802270474287564,Sports
924618684666739047,337.0,438.1,101.10000000000002,RAISE,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,2.022773188211668,Sports
